job_id,job_family,task_type,script,array_size,vcpus,memory_mib,timeout_hours,queue_tier,spot_ok,depends_on,env,expected_artifacts,notes
m1_stier_11,baseline,model_fit,Code/03_fit_m1_stier_11.R,1,4,32000,18,on_demand,false,none,"","Data/processed/m1_stier_11_fit.rds;Output/posteriors/loo_m1_stier_11.rds",Promoted Stier-style 11-section baseline.
m1_stier_obs_hier,observation,model_fit,Code/03_fit_m1_stier_obs_hier.R,1,4,48000,24,on_demand,false,none,"","Data/processed/m1_stier_obs_hier_fit.rds;Output/posteriors/loo_m1_stier_obs_hier.rds",Completed clean negative result; do not submit unchanged except for reproducibility.
m1_stier_method_sensitivity,observation,sensitivity_grid,Code/03_fit_m1_stier_method_sensitivity.R,1,4,48000,24,spot,true,m1_stier_11_promoted,"","Data/processed/m1_stier_method_sensitivity_fit.rds",Completed clean context branch; no calibration gain.
m2_stier_site_growth,site_growth,model_fit,Code/03_fit_m2_stier_site_growth.R,1,4,64000,30,on_demand,false,m1_stier_11_promoted,"","Data/processed/m2_stier_site_growth_fit.rds;Output/posteriors/loo_m2_stier_site_growth.rds",Completed clean context branch; no calibration gain.
m3_stier_distance,spatial_process,model_fit,Code/03_fit_m3_stier_distance.R,1,4,64000,30,on_demand,false,m1_stier_11_promoted,"","Data/processed/m3_stier_distance_fit.rds;Output/posteriors/loo_m3_stier_distance.rds",Distance-correlated process branch; exact re-LOO completed and held as spatial context.
m3_stier_distance_reloo,spatial_process,exact_reloo_array,Code/04g_m3_stier_distance_exact_reloo.R,3,2,32000,8,spot,true,m3_stier_distance_done,"M3_DISTANCE_RELOO_LABEL=batch;M3_DISTANCE_RELOO_CHAINS=2;M3_DISTANCE_RELOO_ITER=1500;M3_DISTANCE_RELOO_WARMUP=750;M3_DISTANCE_RELOO_CORES=2;USE_ARRAY_RANK_FOR_RELOO=1","Output/diagnostics/m3_stier_distance_batch_reloo_rank*.csv;Data/processed/m3_stier_distance_batch_reloo_rank*_idx*_fit.rds",Submit only after m3_stier_distance uploads Output/posteriors/loo_m3_stier_distance.rds; each array child handles one high-Pareto holdout.
m5_stier_predation_pressure,predators,model_fit,Code/03_fit_m5_stier_predation_pressure.R,1,4,64000,30,on_demand,false,predator_data_done,"","Data/processed/m5_stier_predation_pressure_fit.rds;Output/posteriors/loo_m5_stier_predation_pressure.rds",Stier-aligned predator-pressure branch using HG-specific annual covariates from stier-lab/pacific-herring-predators.
m5_stier_predator_demand_total,predators,planned_model_fit,Code/03_fit_m5_stier_predator_demand_total.R,1,4,64000,30,on_demand,false,predator_data_done,"","Data/processed/m5_stier_predator_demand_total_fit.rds;Output/posteriors/loo_m5_stier_predator_demand_total.rds",Completed gated Stier-aligned predator-demand screen using z(log1p total HG predator consumption); held after AWS fit because calibration gain is too small.
m5_stier_doherty_mp_covariate,predators,planned_model_fit,Code/03_fit_m5_stier_doherty_mp_covariate.R,1,4,64000,30,on_demand,false,predator_data_done,"DOHERTY_MP_COVARIATE=pred_mortality_mid_detrended_z","Data/processed/m5_stier_doherty_mp_covariate_fit.rds;Output/posteriors/loo_m5_stier_doherty_mp_covariate.rds",Do not submit full fit; detrended baseline-anchored smoke was still too slow and the bridge screen shows weak lag-1 Mp signal.
m5_stier_doherty_proxy_removals,predators,planned_model_fit,Code/03_fit_m5_stier_doherty_proxy_removals.R,1,4,64000,30,on_demand,false,predator_data_done,"DOHERTY_PROXY_MP_COLUMN=Mp_mid;DOHERTY_PROXY_PRED_SCALE=0.05","Data/processed/m5_stier_doherty_proxy_removals_fit.rds;Output/posteriors/loo_m5_stier_doherty_proxy_removals.rds",Do not submit full fit until the low-vulnerability cloud smoke E-BFMI problem is resolved; this is not a full age-structured catch-at-age model.
